F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,KELAS
0.037122986,0.031695365,0.035119079,0.0309827,0.030093413,0.031695365,0.028619977,0.0309827,0.027008763,0.026339146,0.025645124,0.025643492,3.536344398,5.029232607,4.001959858,5.370419653,6.376644698,5.029232607,7.082795381,5.370419653,8.72581838,8.618862788,9.577670826,9.161469602,43.61584169,82.56289476,58.43492326,99.82325007,131.6572296,82.56289476,172.1223927,99.82325007,233.0400951,227.1429123,294.3632323,264.4735312,0.367215479,0.282248083,0.340818768,0.279723599,0.257359235,0.282248083,0.23639295,0.279723599,0.21129877,0.200942973,0.194835187,0.197367174,104.8962401,63.79325334,64.64578405,57.68037013,80.46512504,63.63854123,4069.579172,3327.025099,4049.863929,0.002951209,2.93E-06,1.68E-09,5.97E-10,4.73E-19,1.01E-12,-3.66E-19,Blue Tang Fish
0.011000926,0.010694663,0.010996949,0.010688629,0.010358073,0.010694663,0.010342802,0.010688629,0.010572541,0.010589149,0.010538276,0.010573504,15.80758262,16.85917245,15.78749075,16.88088066,18.78694845,16.85917245,18.82027062,16.88088066,17.38340614,17.35504163,17.48230163,17.41463619,432.4996007,486.7244043,431.5082545,488.0340502,608.5058503,486.7244043,610.4834113,488.0340502,519.4373849,521.046963,524.8494027,524.5328369,0.081172865,0.074545029,0.080711171,0.074452996,0.068051754,0.074545029,0.067249847,0.074452996,0.071150401,0.071186599,0.069907005,0.070897047,152.7176134,93.86775373,80.29908198,48.77698894,42.845238,52.99165011,8811.15519,2379.19465,2808.114981,0.002467911,7.24E-07,3.17E-11,1.98E-11,6.13E-23,1.41E-14,4.92E-22,Blue Tang Fish
0.029016365,0.023744027,0.026828326,0.023502455,0.022060665,0.023744027,0.020364655,0.023502455,0.018844752,0.018256678,0.017373073,0.01811883,2.713983736,4.579006375,3.814788526,4.341364873,4.799691246,4.579006375,6.261518868,4.341364873,6.49395446,7.302367678,8.237407641,7.135020632,31.30689313,110.852333,81.24961265,78.94132045,87.80513528,110.852333,190.9916698,78.94132045,149.1276655,244.7766466,299.4554744,192.0729318,0.452871776,0.356107027,0.414856697,0.342106388,0.31009157,0.356107027,0.28120293,0.342106388,0.242702481,0.240942805,0.218104217,0.228112243,111.3176286,76.39685009,103.6508344,79.13890693,102.1915862,74.6564863,5836.478704,6262.96659,5573.590947,0.001742694,6.15E-07,1.00E-10,1.38E-10,1.43E-20,8.17E-14,7.82E-21,Blue Tang Fish
0.024088239,0.02076997,0.023348203,0.020837934,0.01965554,0.02076997,0.01921099,0.020837934,0.018141374,0.018046421,0.017952924,0.018142624,2.403425057,3.304932657,2.655897525,3.309080828,3.684929078,3.304932657,4.056783129,3.309080828,4.473622765,4.602434558,4.854602843,4.591978838,12.87177333,26.188555,18.42891338,26.20193169,30.67442289,26.188555,43.868576,26.20193169,48.65804634,55.68224618,67.3370248,56.1055565,0.379200976,0.299056203,0.361979661,0.301986671,0.271391581,0.299056203,0.263636937,0.301986671,0.236536297,0.234183874,0.234944901,0.23784809,99.79956042,49.48405655,107.8964285,55.79847514,107.8814646,63.17682574,2448.671852,3113.469828,3991.311311,0.001897269,8.64E-07,9.64E-11,3.98E-11,1.82E-22,2.21E-14,2.46E-21,Blue Tang Fish
0.046775077,0.039093886,0.045380444,0.039768409,0.036815757,0.039093886,0.035603226,0.039768409,0.032317249,0.031124409,0.030930507,0.031678198,2.022207169,3.199145191,2.468245866,2.830022688,3.319232746,3.199145191,4.115018188,2.830022688,4.045711815,4.747528465,5.17629135,4.267450937,15.42370294,43.90884477,28.03058247,30.54848478,40.40958411,43.90884477,75.78640793,30.54848478,62.21833814,97.98464896,119.1955159,73.36249734,0.538174262,0.439489561,0.516188888,0.45369678,0.410879373,0.439489561,0.390895692,0.45369678,0.349335234,0.329834843,0.32784716,0.343859518,86.97640002,79.12847884,56.15259481,40.26424485,52.94436063,44.80542502,6261.316164,1621.209414,2007.526111,0.003063231,1.41E-06,1.02E-09,1.16E-10,-3.77E-20,-6.77E-14,-1.29E-20,Blue Tang Fish
0.044219964,0.037615067,0.04221273,0.037693521,0.036180111,0.037615067,0.034884319,0.037693521,0.032794691,0.031603488,0.031584293,0.031632792,4.941328993,6.729223143,5.97621955,7.088144334,6.934934584,6.729223143,8.6281823,7.088144334,8.005097358,8.967417138,10.1616666,9.456945619,92.0968034,168.9091725,156.7253983,203.8849301,160.9055342,168.9091725,308.3328014,203.8849301,205.1409581,303.8111176,409.5753619,343.7368817,0.378510987,0.302037238,0.350693216,0.29961684,0.281054854,0.302037238,0.261249583,0.29961684,0.242940384,0.231995315,0.225421839,0.228334425,79.42060516,94.23260026,70.99940116,54.65302038,53.66385214,39.23173394,8879.782952,2986.952636,1539.128948,0.002369946,1.01E-06,5.69E-10,1.42E-11,-7.40E-22,9.79E-15,1.04E-21,Blue Tang Fish
0.027188195,0.022339453,0.024839458,0.022072252,0.021283472,0.022339453,0.01922601,0.022072252,0.018732742,0.017665144,0.016639379,0.017378111,3.667593599,5.71573535,4.854978865,5.863921361,6.557839116,5.71573535,8.4227854,5.863921361,8.933794478,9.607182314,11.33654196,10.0962498,49.07877717,137.4896,117.1553955,146.3304862,143.4726608,137.4896,305.2035091,146.3304862,247.6966229,329.2904855,478.0941833,369.5144654,0.349584594,0.2688252,0.319471667,0.264216701,0.233185516,0.2688252,0.210434641,0.264216701,0.189020972,0.183008899,0.16687968,0.178593933,97.94155695,79.36959389,77.70690466,48.87838037,70.15366392,47.57820295,6299.532434,2389.096067,2263.685396,0.002137024,9.18E-08,1.94E-10,2.39E-12,-2.14E-23,1.86E-16,-4.68E-23,Blue Tang Fish
0.033539876,0.026198464,0.029717754,0.026166214,0.027294579,0.026198464,0.023348648,0.026166214,0.024280011,0.021116296,0.020760186,0.020991328,3.031709091,5.138285193,4.352803355,5.62326543,5.148955677,5.138285193,7.518027016,5.62326543,6.691192214,8.440269679,10.01616895,9.226757619,80.50046061,169.641879,125.9349313,201.7709821,173.4520279,169.641879,335.5818768,201.7709821,226.5601338,379.5074571,528.6072339,453.4347991,0.449521225,0.32424185,0.394092782,0.325606163,0.321445244,0.32424185,0.272614233,0.325606163,0.261032646,0.224952608,0.219724982,0.22784207,104.4545312,69.3422196,77.5876588,61.49924246,35.0261343,48.73557398,4808.34342,3782.156823,2375.156171,0.00298892,2.46E-06,1.45E-10,1.97E-10,2.20E-20,2.20E-13,-2.51E-20,Blue Tang Fish
0.147242692,0.135912383,0.148391099,0.136004477,0.137199998,0.135912383,0.138552382,0.136004477,0.130490391,0.124226986,0.131488356,0.124423669,3.895098373,5.657225588,4.490196281,5.263066728,6.43953127,5.657225588,7.442720406,5.263066728,7.970595335,8.428624756,9.302446103,8.156157973,76.08944273,156.3460836,99.95565427,135.3066142,207.7858213,156.3460836,272.9976907,135.3066142,316.7353856,340.461212,421.1501002,325.4212384,0.545245648,0.4959119,0.539733926,0.498793017,0.4888081,0.4959119,0.486573159,0.498793017,0.465967184,0.448491438,0.463370376,0.450701014,163.3312208,51.88567586,110.9162816,49.63061126,52.79606883,75.97790236,2692.12336,2463.197574,5772.641647,0.001907183,7.05E-07,6.70E-11,2.56E-10,3.35E-20,1.97E-13,1.90E-21,Blue Tang Fish
0.062529864,0.054326979,0.062391517,0.054786243,0.051943008,0.054326979,0.052718193,0.054786243,0.046550495,0.045147366,0.047390902,0.045484792,3.763240348,5.328675958,3.776858999,4.281697756,5.704320894,5.328675958,5.945967522,4.281697756,6.242313297,6.512035127,6.862184249,6.107008343,86.81447948,171.9692593,81.52324867,89.82916985,183.5792026,171.9692593,191.5623939,89.82916985,196.2145224,215.3306963,236.7541607,182.9710901,0.544670771,0.482424355,0.536508047,0.488814674,0.465276937,0.482424355,0.463159048,0.488814674,0.424570895,0.413019442,0.424594673,0.416067571,188.8886732,65.26810057,99.77358939,36.70093696,40.4844803,40.76242552,4259.924952,1346.958774,1661.575334,0.001953535,4.00E-07,7.54E-12,2.62E-11,-2.98E-22,-5.25E-16,2.16E-22,Blue Tang Fish
